code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
7800R3AK-36PM,,,,,224.0,8.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,36.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,232.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,8.0,,,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,8.0,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,8.0,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,,232.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,8.0,,,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,8.0,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,8.0,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,224.0,,8.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,224.0,,,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,8.0,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,224.0,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,8.0,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3AK-36PM,,,,,,,8.0,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,36.0,,,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,144.0,,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,232.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,8.0,,,224.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,8.0,224.0,,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,224.0,8.0,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,36.0,,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,,232.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,8.0,,,,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,8.0,,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,8.0,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,,,232.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,8.0,,,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,8.0,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,8.0,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,224.0,,8.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,224.0,,,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,8.0,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,,224.0,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,8.0,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36D,,,,,,,8.0,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,36.0,,,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,144.0,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,232.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,8.0,,,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,8.0,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,224.0,8.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,,36.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,,,232.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,8.0,,,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,8.0,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,,8.0,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,,,,232.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,8.0,,,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,8.0,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3A-36DM,,,,,,8.0,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
